invoiceDate,amount
2023-09-23,975845.95
2023-09-25,988489.98
2023-09-26,2406588.73
2023-09-27,1717026.85
2023-09-28,247543.24
2023-09-29,816073.68
2023-09-30,250319.25
2023-10-02,1402084.68
2023-10-03,1469406.3599999999
2023-10-04,1899795.0
2023-10-05,457525.99
2023-10-06,588757.9400000001
2023-10-07,1129319.74
2023-10-09,927226.71
2023-10-10,1164892.79
2023-10-11,896532.89
2023-10-12,381762.5
2023-10-13,576820.68
2023-10-14,695384.93
2023-10-16,3131438.31
2023-10-17,893127.34
2023-10-18,2617963.35
2023-10-19,399099.73
2023-10-20,706449.69
2023-10-21,441802.85
2023-10-23,1213338.4
2023-10-24,713164.59
2023-10-25,1370252.29
2023-10-26,974174.12
2023-10-27,633760.16
2023-10-28,1451601.26
2023-10-30,1155740.6300000001
2023-10-31,253402.94
2023-11-01,1316414.68
2023-11-02,4209124.24
2023-11-03,538463.81
2023-11-04,914267.94
2023-11-06,1450915.71
2023-11-07,2447323.8
2023-11-08,945610.05
2023-11-09,453029.16
2023-11-10,772288.31
2023-11-17,468533.19
2023-11-18,934839.86
2023-11-20,686659.89
2023-11-21,961791.4400000001
2023-11-22,725972.64
2023-11-23,1225904.13
2023-11-24,1731718.91
2023-11-25,838058.57
2023-11-27,1284286.46
2023-11-28,575059.74
2023-11-29,547969.89
2023-11-30,3531.0
2023-12-01,1216996.0
2023-12-02,696797.96
2023-12-04,2057658.46
2023-12-05,1148630.83
2023-12-06,421942.75
2023-12-07,803195.49
2023-12-08,1381032.05
2023-12-09,552607.29
2023-12-11,1001337.52
2023-12-12,723463.05
2023-12-13,738816.91
2023-12-14,178807.1
2023-12-15,301722.56
2023-12-16,756777.76
2023-12-18,1836669.52
2023-12-19,476407.46
2023-12-20,610352.23
2023-12-21,1822611.86
2023-12-22,341761.51
2023-12-23,460046.66
2023-12-25,1040840.32
2023-12-26,1240294.56
2023-12-27,283047.37
2023-12-28,1738525.55
2023-12-29,699081.74
2023-12-30,11926.9
2024-01-01,1843282.98
2024-01-02,953704.56
2024-01-03,824350.7
2024-01-04,828103.94
2024-01-05,593589.66
2024-01-06,680621.08
2024-01-08,1543187.33
2024-01-09,2209165.34
2024-01-10,598156.02
2024-01-11,246452.53
2024-01-12,635212.48
2024-01-13,1250578.25
2024-01-15,739301.52
2024-01-16,431908.06
2024-01-17,350947.71
2024-01-18,1302479.22
2024-01-19,897176.84
2024-01-20,573870.38
2024-01-22,223863.08000000002
2024-01-23,1012712.29
2024-01-24,924428.28
2024-01-25,478134.23
2024-01-26,781546.39
2024-01-27,1642600.4
2024-01-29,300718.76
2024-01-30,1504737.26
2024-01-31,14226.18
2024-02-01,1189407.19
2024-02-02,886671.8300000001
2024-02-03,1415246.27
2024-02-05,774553.03
2024-02-06,3216266.32
2024-02-07,2042337.57
2024-02-08,1382633.55
2024-02-09,414051.58999999997
2024-02-10,315625.26
2024-02-12,1459728.46
2024-02-13,1659754.08
2024-02-14,804379.35
2024-02-15,1004518.01
2024-02-16,936296.98
2024-02-17,330584.0
2024-02-19,488010.27
2024-02-20,822946.36
2024-02-21,1089453.92
2024-02-22,854546.39
2024-02-23,685751.74
2024-02-24,833194.9
2024-02-26,419175.57
2024-02-27,1085600.2
2024-02-28,2853539.99
2024-02-29,135012.51
2024-03-01,1230697.16
2024-03-02,736156.98
2024-03-04,658051.37
2024-03-05,879608.39
2024-03-06,819830.22
2024-03-07,1248808.82
2024-03-08,241623.52
2024-03-09,1681893.23
2024-03-11,1599992.6
2024-03-12,766813.7
2024-03-13,360283.15
2024-03-14,660981.21
2024-03-15,759882.05
2024-03-16,826271.6
2024-03-18,1466201.06
2024-03-19,506497.67
2024-03-20,718979.44
2024-03-21,1264452.11
2024-03-22,620467.3
2024-03-23,1618692.62
2024-03-26,260979.98
2024-03-27,1608254.24
2024-03-28,607032.82
2024-03-29,1653144.6
2024-03-30,14710.06
2024-03-31,2355.8999999999996
2024-04-01,1406759.03
2024-04-02,1464868.26
2024-04-03,1242239.62
2024-04-04,415087.38
2024-04-05,1816464.12
2024-04-06,650548.74
2024-04-08,1500860.8
2024-04-09,400861.98
2024-04-10,422618.46
2024-04-11,622254.88
2024-04-12,499830.36
2024-04-13,361138.6
2024-04-15,1021184.62
2024-04-16,1749431.8
2024-04-17,305936.0
2024-04-18,996109.56
2024-04-19,1129002.0
2024-04-20,753667.26
2024-04-22,3263610.3
2024-04-23,356230.76
2024-04-24,490726.24
2024-04-25,152930.94
2024-04-26,472991.45
2024-04-27,652214.79
2024-04-29,133446.12
2024-05-01,1078387.53
2024-05-02,629002.71
2024-05-03,912943.42
2024-05-04,456628.01
2024-05-06,160435.79
2024-05-07,438292.14
2024-05-08,290497.74
2024-05-09,283322.67
2024-05-10,396749.85
2024-05-11,221398.03
2024-05-13,374697.8
2024-05-14,419457.72
2024-05-15,291510.25
