InvoiceWeek,amount
2,671.2
2,2745.8
2,1607.0
2,2025.0
2,555.48
2,10414.2
2,4859.96
2,4860.1
2,8910.0
2,1041.3
2,6618.82
2,2063.7
2,0.0
2,4628.4
2,1678.0
2,1735.8
2,1157.0
2,4165.8
2,3819.0
2,2291.4
2,0.0
2,1388.6
2,0.0
2,2557.2
2,1735.5
2,1041.5
2,347.1
2,338.35
2,0.0
2,0.0
2,1607.0
2,0.0
2,4118.5
2,2314.5
2,2160.0
2,2082.8
2,0.0
2,694.3
2,2965.5
2,11572.0
2,1499.19
2,5207.0
2,1041.3
2,4628.8
2,0.0
2,810.0
2,190.9
2,173.6
2,2816.94
2,1041.4
2,8316.0
2,578.6
2,0.0
2,2604.0
2,6364.0
2,1678.0
2,2223.9
2,694.3
2,4339.5
2,1607.0
2,275.16
2,694.4
2,3471.0
2,4832.6
2,0.0
2,1736.0
2,11572.0
2,2121.5
2,312.42
2,1909.0
2,572.7
2,3857.0
2,0.0
2,2545.5
2,150.4
2,426.2
2,152.76
